Time,Time Code,Country Name,Country Code,Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Rural population (% of total population) [SP.RUR.TOTL.ZS],Population in urban agglomerations of more than 1 million (% of total population) [EN.URB.MCTY.TL.ZS]
2009,YR2009,France,FRA,78.117,0.049458614730346,21.883,22.4525647379941
2009,YR2009,Germany,DEU,76.771,0.158934708555447,23.229,9.21843996409039
2009,YR2009,Indonesia,IDN,49.134,6.42593139928445,50.866,12.54402110265
2009,YR2009,United States,USA,80.606,0.743921134944805,19.394,44.36956533864
2009,YR2009,United Kingdom,GBR,81.031,0.84946186314372,18.969,26.036214114943
2009,YR2009,United Arab Emirates,ARE,83.742,19.713461721995,16.258,42.9931822310615
2010,YR2010,Afghanistan,AFG,23.737,0.62533261319642,76.263,11.6674113838572
2010,YR2010,Australia,AUS,85.182,8.06660025617252,14.818,59.2358346477243
2010,YR2010,France,FRA,78.369,0.0546571274665138,21.631,22.4902793801223
2010,YR2010,Germany,DEU,76.966,0.195522369883906,23.034,9.27779631737215
2010,YR2010,Indonesia,IDN,49.914,7.13560902238893,50.086,12.6310160597429
2010,YR2010,United States,USA,80.772,0.968704075093042,19.228,44.5031298142498
2010,YR2010,United Kingdom,GBR,81.302,0.861239087184779,18.698,26.1226120072431
2010,YR2010,United Arab Emirates,ARE,84.087,23.7768704858008,15.913,43.4702493146773
2011,YR2011,Afghanistan,AFG,23.948,0.836389660299977,76.052,11.5273510275869
2011,YR2011,Australia,AUS,85.3,8.72352035944917,14.7,59.5951776954224
2011,YR2011,France,FRA,78.622,0.0486924296380263,21.378,22.4980389923776
2011,YR2011,Germany,DEU,77.16,0.228554942117436,22.84,9.49781328511773
2011,YR2011,Indonesia,IDN,50.595,8.5631139337506,49.405,12.7030135532704
2011,YR2011,United States,USA,80.944,1.23502930471558,19.056,44.6881803724376
2011,YR2011,United Kingdom,GBR,81.57,1.07544716241254,18.43,26.2096915828799
2011,YR2011,United Arab Emirates,ARE,84.423,29.7789568323524,15.577,45.4671812510605
2012,YR2012,Afghanistan,AFG,24.16,0.684675468598181,75.84,11.3452427502371
2012,YR2012,Australia,AUS,85.402,5.29813880381044,14.598,59.6872496119707
2012,YR2012,France,FRA,78.878,0.0483609619788124,21.122,22.5057323661209
2012,YR2012,Germany,DEU,77.17,0.1648561931117,22.83,9.52908992923827
2012,YR2012,Indonesia,IDN,51.276,5.94561486320563,48.724,12.7776798983002
2012,YR2012,United States,USA,81.119,0.776694501385092,18.881,44.876905576033
2012,YR2012,United Kingdom,GBR,81.837,0.866071942237571,18.163,26.2989112360139
2012,YR2012,United Arab Emirates,ARE,84.749,28.2144669709365,15.251,47.588491084042
2013,YR2013,Afghanistan,AFG,24.373,0.603571665401867,75.627,11.2336594326489
2013,YR2013,Australia,AUS,85.502,5.32011574075874,14.498,59.792264216444
2013,YR2013,France,FRA,79.135,0.0481698364814291,20.865,22.5058194572615
2013,YR2013,Germany,DEU,77.18,0.12505562713457,22.82,9.55469427007213
2013,YR2013,Indonesia,IDN,51.955,5.38990903395495,48.045,12.8596762207767
2013,YR2013,United States,USA,81.299,0.750833995599957,18.701,45.088686925585
2013,YR2013,United Kingdom,GBR,82.102,0.717358769907282,17.898,26.3949132077828
2013,YR2013,United Arab Emirates,ARE,85.066,27.3813114030779,14.934,49.8262709574333
2014,YR2014,Afghanistan,AFG,24.587,0.542756499666634,75.413,11.1023526258084
2014,YR2014,Australia,AUS,85.602,4.76093943711509,14.398,60.0378919704413
2014,YR2014,France,FRA,79.394,0.0462251783929265,20.606,22.5169892532531
2014,YR2014,Germany,DEU,77.19,0.0973612592499159,22.81,9.56681258296546
2014,YR2014,Indonesia,IDN,52.635,4.79162103687978,47.365,12.9514759996986
2014,YR2014,United States,USA,81.483,0.703153661885122,18.517,45.2892733971627
2014,YR2014,United Kingdom,GBR,82.365,0.569359660800821,17.635,26.474442132074
2014,YR2014,United Arab Emirates,ARE,85.375,23.9739257701595,14.625,52.1983881531258
2015,YR2015,Afghanistan,AFG,24.803,0.469916949251438,75.197,11.0315763115403
2015,YR2015,Australia,AUS,85.701,3.23765474517452,14.299,60.3172951623478
2015,YR2015,France,FRA,79.655,0.040991340666787,20.345,22.553611910464
2015,YR2015,Germany,DEU,77.2,0.0760120087289006,22.8,9.5404949533284
2015,YR2015,Indonesia,IDN,53.313,3.08136736381978,46.687,13.0523732557207
2015,YR2015,United States,USA,81.671,0.234371770177788,18.329,45.4949718399379
2015,YR2015,United Kingdom,GBR,82.626,0.337710045585096,17.374,26.539844090149
2015,YR2015,United Arab Emirates,ARE,85.674,14.0468089597238,14.326,54.711531441592
2016,YR2016,Afghanistan,AFG,25.02,0.617409905168126,74.98,11.0209556144528
2016,YR2016,Australia,AUS,85.8,4.08098789525561,14.2,60.5264531834214
2016,YR2016,France,FRA,79.917,0.0401901593813067,20.083,22.611070206353
2016,YR2016,Germany,DEU,77.224,0.0642202510440344,22.776,9.52448909647829
2016,YR2016,Indonesia,IDN,53.989,2.66818993930963,46.011,13.1630299955262
2016,YR2016,United States,USA,81.862,0.303325431060077,18.138,45.7132555583511
2016,YR2016,United Kingdom,GBR,82.886,0.273025131582337,17.114,26.615438219889
2016,YR2016,United Arab Emirates,ARE,85.965,11.8055195768229,14.035,57.3772414704796
2017,YR2017,Afghanistan,AFG,25.25,0.702981728943138,74.75,10.9790172199535
2017,YR2017,Australia,AUS,85.904,5.06804774011339,14.096,60.6859961220836
2017,YR2017,France,FRA,80.18,0.0362250443838789,19.82,22.6627551143922
2017,YR2017,Germany,DEU,77.261,0.0682636663146081,22.739,9.55008627097315
2017,YR2017,Indonesia,IDN,54.659,3.08016177152276,45.341,13.2837911145263
2017,YR2017,United States,USA,82.058,0.427546323641111,17.942,45.9806119379238
2017,YR2017,United Kingdom,GBR,83.143,0.397885220213493,16.857,26.7126836084165
2017,YR2017,United Arab Emirates,ARE,86.248,14.3278424370326,13.752,60.2035817975064
2018,YR2018,Afghanistan,AFG,25.495,0.855264249305936,74.505,10.935191266697
2018,YR2018,Australia,AUS,86.012,5.22752063881788,13.988,60.939012848403
2018,YR2018,France,FRA,80.444,0.0429051117731693,19.556,22.6991036170217
2018,YR2018,Germany,DEU,77.312,0.0847654608298758,22.688,9.58303125347759
2018,YR2018,Indonesia,IDN,55.325,4.21663374449654,44.675,13.4133041741913
2018,YR2018,United States,USA,82.256,0.595678810382377,17.744,46.3045260508243
2018,YR2018,United Kingdom,GBR,83.398,0.626195352812848,16.602,26.8304584761102
2018,YR2018,United Arab Emirates,ARE,86.522,18.1866824883602,13.478,63.1927484054179
